Command finished with exit code 0.
Command output:
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/setupplan.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/skipping.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/stash.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/stepwise.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/subtests.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/terminal.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/terminalprogress.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/threadexception.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/timing.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/tmpdir.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/tracemalloc.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/unittest.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/unraisableexception.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/warning_types.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/__pycache__/warnings.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_argcomplete.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_code/__init__.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_code/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_code/__pycache__/code.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_code/__pycache__/source.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_code/code.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_code/source.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/__init__.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/__pycache__/pprint.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/__pycache__/saferepr.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/__pycache__/terminalwriter.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/__pycache__/wcwidth.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/pprint.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/saferepr.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_io/wcwidth.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_py/__init__.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_py/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_py/__pycache__/error.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_py/__pycache__/path.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/_py/error.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_py/path.py'
rm '.venv/lib/python3.12/site-packages/_pytest/_version.py'
rm '.venv/lib/python3.12/site-packages/_pytest/assertion/__init__.py'
rm '.venv/lib/python3.12/site-packages/_pytest/assertion/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/assertion/__pycache__/rewrite.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/assertion/__pycache__/truncate.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/assertion/__pycache__/util.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/assertion/rewrite.py'
rm '.venv/lib/python3.12/site-packages/_pytest/assertion/truncate.py'
rm '.venv/lib/python3.12/site-packages/_pytest/assertion/util.py'
rm '.venv/lib/python3.12/site-packages/_pytest/cacheprovider.py'
rm '.venv/lib/python3.12/site-packages/_pytest/capture.py'
rm '.venv/lib/python3.12/site-packages/_pytest/compat.py'
rm '.venv/lib/python3.12/site-packages/_pytest/config/__init__.py'
rm '.venv/lib/python3.12/site-packages/_pytest/config/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/config/__pycache__/argparsing.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/config/__pycache__/compat.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/config/__pycache__/exceptions.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/config/__pycache__/findpaths.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/config/argparsing.py'
rm '.venv/lib/python3.12/site-packages/_pytest/config/compat.py'
rm '.venv/lib/python3.12/site-packages/_pytest/config/exceptions.py'
rm '.venv/lib/python3.12/site-packages/_pytest/config/findpaths.py'
rm '.venv/lib/python3.12/site-packages/_pytest/debugging.py'
rm '.venv/lib/python3.12/site-packages/_pytest/deprecated.py'
rm '.venv/lib/python3.12/site-packages/_pytest/doctest.py'
rm '.venv/lib/python3.12/site-packages/_pytest/faulthandler.py'
rm '.venv/lib/python3.12/site-packages/_pytest/fixtures.py'
rm '.venv/lib/python3.12/site-packages/_pytest/freeze_support.py'
rm '.venv/lib/python3.12/site-packages/_pytest/helpconfig.py'
rm '.venv/lib/python3.12/site-packages/_pytest/hookspec.py'
rm '.venv/lib/python3.12/site-packages/_pytest/junitxml.py'
rm '.venv/lib/python3.12/site-packages/_pytest/legacypath.py'
rm '.venv/lib/python3.12/site-packages/_pytest/logging.py'
rm '.venv/lib/python3.12/site-packages/_pytest/main.py'
rm '.venv/lib/python3.12/site-packages/_pytest/mark/__init__.py'
rm '.venv/lib/python3.12/site-packages/_pytest/mark/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/mark/__pycache__/expression.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/mark/__pycache__/structures.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/_pytest/mark/expression.py'
rm '.venv/lib/python3.12/site-packages/_pytest/mark/structures.py'
rm '.venv/lib/python3.12/site-packages/_pytest/monkeypatch.py'
rm '.venv/lib/python3.12/site-packages/_pytest/nodes.py'
rm '.venv/lib/python3.12/site-packages/_pytest/outcomes.py'
rm '.venv/lib/python3.12/site-packages/_pytest/pastebin.py'
rm '.venv/lib/python3.12/site-packages/_pytest/pathlib.py'
rm '.venv/lib/python3.12/site-packages/_pytest/py.typed'
rm '.venv/lib/python3.12/site-packages/_pytest/pytester.py'
rm '.venv/lib/python3.12/site-packages/_pytest/pytester_assertions.py'
rm '.venv/lib/python3.12/site-packages/_pytest/python.py'
rm '.venv/lib/python3.12/site-packages/_pytest/python_api.py'
rm '.venv/lib/python3.12/site-packages/_pytest/raises.py'
rm '.venv/lib/python3.12/site-packages/_pytest/recwarn.py'
rm '.venv/lib/python3.12/site-packages/_pytest/reports.py'
rm '.venv/lib/python3.12/site-packages/_pytest/runner.py'
rm '.venv/lib/python3.12/site-packages/_pytest/scope.py'
rm '.venv/lib/python3.12/site-packages/_pytest/setuponly.py'
rm '.venv/lib/python3.12/site-packages/_pytest/setupplan.py'
rm '.venv/lib/python3.12/site-packages/_pytest/skipping.py'
rm '.venv/lib/python3.12/site-packages/_pytest/stash.py'
rm '.venv/lib/python3.12/site-packages/_pytest/stepwise.py'
rm '.venv/lib/python3.12/site-packages/_pytest/subtests.py'
rm '.venv/lib/python3.12/site-packages/_pytest/terminal.py'
rm '.venv/lib/python3.12/site-packages/_pytest/terminalprogress.py'
rm '.venv/lib/python3.12/site-packages/_pytest/threadexception.py'
rm '.venv/lib/python3.12/site-packages/_pytest/timing.py'
rm '.venv/lib/python3.12/site-packages/_pytest/tmpdir.py'
rm '.venv/lib/python3.12/site-packages/_pytest/tracemalloc.py'
rm '.venv/lib/python3.12/site-packages/_pytest/unittest.py'
rm '.venv/lib/python3.12/site-packages/_pytest/unraisableexception.py'
rm '.venv/lib/python3.12/site-packages/_pytest/warning_types.py'
rm '.venv/lib/python3.12/site-packages/_pytest/warnings.py'
rm '.venv/lib/python3.12/site-packages/_yaml/__init__.py'
rm '.venv/lib/python3.12/site-packages/_yaml/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/a1_coverage.pth'
rm '.venv/lib/python3.12/site-packages/aiofiles-25.1.0.dist-info/INSTALLER'
rm '.venv/lib/python3.12/site-packages/aiofiles-25.1.0.dist-info/METADATA'
rm '.venv/lib/python3.12/site-packages/aiofiles-25.1.0.dist-info/RECORD'
rm '.venv/lib/python3.12/site-packages/aiofiles-25.1.0.dist-info/WHEEL'
rm '.venv/lib/python3.12/site-packages/aiofiles-25.1.0.dist-info/licenses/LICENSE'
rm '.venv/lib/python3.12/site-packages/aiofiles-25.1.0.dist-info/licenses/NOTICE'
rm '.venv/lib/python3.12/site-packages/aiofiles/__init__.py'
rm '.venv/lib/python3.12/site-packages/aiofiles/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/__pycache__/base.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/__pycache__/os.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/__pycache__/ospath.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/base.py'
rm '.venv/lib/python3.12/site-packages/aiofiles/os.py'
rm '.venv/lib/python3.12/site-packages/aiofiles/ospath.py'
rm '.venv/lib/python3.12/site-packages/aiofiles/tempfile/__init__.py'
rm '.venv/lib/python3.12/site-packages/aiofiles/tempfile/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/tempfile/__pycache__/temptypes.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/tempfile/temptypes.py'
rm '.venv/lib/python3.12/site-packages/aiofiles/threadpool/__init__.py'
rm '.venv/lib/python3.12/site-packages/aiofiles/threadpool/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/threadpool/__pycache__/binary.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/threadpool/__pycache__/text.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/threadpool/__pycache__/utils.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/aiofiles/threadpool/binary.py'
rm '.venv/lib/python3.12/site-packages/aiofiles/threadpool/text.py'
rm '.venv/lib/python3.12/site-packages/aiofiles/threadpool/utils.py'
rm '.venv/lib/python3.12/site-packages/annotated_doc-0.0.4.dist-info/INSTALLER'
rm '.venv/lib/python3.12/site-packages/annotated_doc-0.0.4.dist-info/METADATA'
rm '.venv/lib/python3.12/site-packages/annotated_doc-0.0.4.dist-info/RECORD'
rm '.venv/lib/python3.12/site-packages/annotated_doc-0.0.4.dist-info/WHEEL'
rm '.venv/lib/python3.12/site-packages/annotated_doc-0.0.4.dist-info/entry_points.txt'
rm '.venv/lib/python3.12/site-packages/annotated_doc-0.0.4.dist-info/licenses/LICENSE'
rm '.venv/lib/python3.12/site-packages/annotated_doc/__init__.py'
rm '.venv/lib/python3.12/site-packages/annotated_doc/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/annotated_doc/__pycache__/main.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/annotated_doc/main.py'
rm '.venv/lib/python3.12/site-packages/annotated_doc/py.typed'
rm '.venv/lib/python3.12/site-packages/annotated_types-0.7.0.dist-info/INSTALLER'
rm '.venv/lib/python3.12/site-packages/annotated_types-0.7.0.dist-info/METADATA'
rm '.venv/lib/python3.12/site-packages/annotated_types-0.7.0.dist-info/RECORD'
rm '.venv/lib/python3.12/site-packages/annotated_types-0.7.0.dist-info/WHEEL'
rm '.venv/lib/python3.12/site-packages/annotated_types-0.7.0.dist-info/licenses/LICENSE'
rm '.venv/lib/python3.12/site-packages/annotated_types/__init__.py'
rm '.venv/lib/python3.12/site-packages/annotated_types/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/annotated_types/__pycache__/test_cases.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/annotated_types/py.typed'
rm '.venv/lib/python3.12/site-packages/annotated_types/test_cases.py'
rm '.venv/lib/python3.12/site-packages/anyio-4.13.0.dist-info/INSTALLER'
rm '.venv/lib/python3.12/site-packages/anyio-4.13.0.dist-info/METADATA'
rm '.venv/lib/python3.12/site-packages/anyio-4.13.0.dist-info/RECORD'
rm '.venv/lib/python3.12/site-packages/anyio-4.13.0.dist-info/WHEEL'
rm '.venv/lib/python3.12/site-packages/anyio-4.13.0.dist-info/entry_points.txt'
rm '.venv/lib/python3.12/site-packages/anyio-4.13.0.dist-info/licenses/LICENSE'
rm '.venv/lib/python3.12/site-packages/anyio-4.13.0.dist-info/top_level.txt'
rm '.venv/lib/python3.12/site-packages/anyio/__init__.py'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/__init__.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/from_thread.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/from_thread.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/functools.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/lowlevel.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/lowlevel.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/pytest_plugin.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/pytest_plugin.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/to_interpreter.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/to_process.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/to_thread.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/__pycache__/to_thread.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_backends/__init__.py'
rm '.venv/lib/python3.12/site-packages/anyio/_backends/__pycache__/__init__.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_backends/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_backends/__pycache__/_asyncio.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_backends/__pycache__/_asyncio.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_backends/__pycache__/_trio.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_backends/__pycache__/_trio.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_backends/_asyncio.py'
rm '.venv/lib/python3.12/site-packages/anyio/_backends/_trio.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__init__.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/__init__.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_asyncio_selector_thread.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_contextmanagers.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_contextmanagers.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_eventloop.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_eventloop.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_exceptions.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_exceptions.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_fileio.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_fileio.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_resources.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_resources.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_signals.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_signals.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_sockets.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_sockets.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_streams.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_streams.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_subprocesses.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_subprocesses.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_synchronization.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_synchronization.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_tasks.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_tasks.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_tempfile.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_tempfile.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_testing.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_testing.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_typedattr.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/__pycache__/_typedattr.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_asyncio_selector_thread.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_contextmanagers.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_eventloop.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_exceptions.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_fileio.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_resources.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_signals.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_sockets.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_streams.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_subprocesses.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_synchronization.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_tasks.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_tempfile.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_testing.py'
rm '.venv/lib/python3.12/site-packages/anyio/_core/_typedattr.py'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__init__.py'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/__init__.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_eventloop.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_eventloop.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_resources.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_resources.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_sockets.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_sockets.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_streams.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_streams.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_subprocesses.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_subprocesses.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_tasks.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_tasks.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_testing.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/__pycache__/_testing.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/abc/_eventloop.py'
rm '.venv/lib/python3.12/site-packages/anyio/abc/_resources.py'
rm '.venv/lib/python3.12/site-packages/anyio/abc/_sockets.py'
rm '.venv/lib/python3.12/site-packages/anyio/abc/_streams.py'
rm '.venv/lib/python3.12/site-packages/anyio/abc/_subprocesses.py'
rm '.venv/lib/python3.12/site-packages/anyio/abc/_tasks.py'
rm '.venv/lib/python3.12/site-packages/anyio/abc/_testing.py'
rm '.venv/lib/python3.12/site-packages/anyio/from_thread.py'
rm '.venv/lib/python3.12/site-packages/anyio/functools.py'
rm '.venv/lib/python3.12/site-packages/anyio/lowlevel.py'
rm '.venv/lib/python3.12/site-packages/anyio/py.typed'
rm '.venv/lib/python3.12/site-packages/anyio/pytest_plugin.py'
rm '.venv/lib/python3.12/site-packages/anyio/streams/__init__.py'
rm '.venv/lib/python3.12/site-packages/anyio/streams/__pycache__/__init__.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/streams/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/streams/__pycache__/buffered.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/streams/__pycache__/file.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/streams/__pycache__/memory.cpython-312-pytest-9.0.3.pyc'
rm '.venv/lib/python3.12/site-packages/anyio/streams/__pycache__/memory.cpython-312.pyc'
